epoch,loss,test_mse,elapsed_s,eta_s
0,956329344.0,1.032548,10,19324
25,510792832.0,0.892601,167,12714
50,259206880.0,0.352453,328,12516
75,76474024.0,0.093592,491,12431
100,31513962.0,0.040772,653,12269
125,21993878.0,0.032092,813,12088
150,17410902.0,0.026675,976,11956
175,14618326.0,0.023989,1142,11833
200,12444219.0,0.021013,1309,11719
225,10967420.0,0.019453,1476,11584
250,9636555.0,0.017218,1641,11438
275,8563777.0,0.016359,1806,11283
300,7643787.5,0.014344,1973,11138
325,6803106.5,0.013843,2140,10990
350,6108578.0,0.012118,2308,10842
375,5469478.5,0.011777,2476,10692
400,4839527.5,0.010439,2644,10542
425,4499760.0,0.009891,2813,10392
450,3803336.8,0.009117,2980,10236
475,3605897.8,0.008570,3149,10083
500,3065840.2,0.007775,3322,9939
525,2845361.2,0.007596,3492,9785
550,2501157.8,0.006662,3663,9633
575,2160772.2,0.007009,3834,9478
600,2117349.8,0.005662,4005,9323
625,1549611.5,0.006699,4178,9169
650,1811584.6,0.004793,4351,9016
675,1012199.1,0.006309,4524,8860
700,1430034.1,0.004055,4700,8709
725,529064.1,0.006019,4876,8557
750,1259564.9,0.003403,5051,8400
775,796098.5,0.003574,5223,8239
800,268080.2,0.003651,5400,8084
825,133685.9,0.004309,5579,7929
850,495063.2,0.002934,5758,7774
875,-244951.0,0.005317,5935,7615
900,5863285.0,0.022069,6113,7456
925,9440109.0,0.008781,6291,7296
950,1223730.9,0.012371,6469,7135
975,4189540.0,0.021137,6646,6973
1000,8330913.0,0.007560,6826,6812
1025,2251146.2,0.008932,7005,6650
1050,2258981.0,0.016332,7183,6486
1075,5380272.5,0.005594,7359,6320
1100,965590.0,0.010292,7538,6155
1125,3569585.5,0.018153,7720,5992
1150,7167451.5,0.006832,7900,5827
1175,1995326.9,0.007587,8078,5660
1200,1863506.8,0.013969,8255,5492
1225,4602219.5,0.004995,8431,5322
1250,832306.2,0.008976,8607,5153
1275,2961589.8,0.015641,8782,4983
1300,5979479.5,0.005806,8961,4815
1325,1499848.6,0.007261,9138,4645
1350,1832413.9,0.013291,9315,4475
1375,4440841.5,0.005008,9488,4303
1400,908785.5,0.007217,9663,4132
1425,2112091.2,0.012637,9842,3962
1450,4562701.5,0.004477,10021,3792
1475,866292.0,0.007611,10201,3621
1500,2048349.2,0.013596,10379,3451
1525,4658798.5,0.005431,10558,3279
1550,1135615.6,0.005408,10736,3108
1575,1251504.0,0.009741,10914,2936
1600,3193303.0,0.003229,11094,2765
1625,250796.7,0.008417,11273,2593
1650,2444292.0,0.014586,11452,2421
1675,5176457.5,0.006266,11628,2248
1700,1510211.2,0.003768,11805,2075
1725,446115.4,0.007086,11984,1902
1750,1909149.6,0.002174,12164,1730
1775,-305353.1,0.009830,12342,1557
1800,3107991.2,0.016535,12523,1384
1825,6095369.0,0.007727,12705,1211
1850,2122703.0,0.002369,12886,1037
1875,-279746.8,0.004794,13066,864
1900,881573.8,0.001488,13248,690
1925,-683680.4,0.010589,13430,516
1950,3316120.8,0.017238,13612,342
1975,5844739.0,0.007455,13794,168
1999,5777707.0,0.007453,13968,0
